arm,setpoint_c,gain,plane,rung,rung_pct_planned,pct_of_tsat,exptime_s,pedestal,signal,var_pair,var_pair_spread,var_single,sat_frac,R_counts,ccd_temp,n_frames,usable
a1,-10.0,50,R,11,90.0,89.99999964690726,32.991974,64.61764176686604,3302.253033320109,606.3679674756017,1.9468756549798627,1280.3382791309355,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,11,90.0,89.99999964690726,32.991974,64.61166508992513,3607.9946409861245,662.6779472853714,0.6812428865193851,1579.7519290687374,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,11,90.0,89.99999964690726,32.991974,64.63395563761394,3607.2849782307944,664.1529441754158,1.5406897401054493,1542.7069628258696,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,11,90.0,89.99999964690726,32.991974,64.6389102935791,3617.760145187378,661.0550649413191,2.055340700451552,1531.07240788452,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,200,R,0,0.3,0.2999971666720021,0.03566,69.22284959491931,10.79261614146985,12.848342212754812,0.058930622934846966,13.042660474150576,0.0,1.0808587170192034,-10.0,4,True
a1,-10.0,200,G1,0,0.3,0.2999971666720021,0.03566,69.21829263787521,11.603205279300084,13.806535196710502,0.030413563526719756,14.051189635149868,0.0,1.08311373689622,-10.0,4,True
a1,-10.0,200,G2,0,0.3,0.2999971666720021,0.03566,69.19800407008121,11.602224048815273,13.843525590886893,0.11852315065527819,14.074202263810413,0.0,1.0787826382952181,-10.0,4,True
a1,-10.0,200,B,0,0.3,0.2999971666720021,0.03566,69.20189044350072,11.559112097087663,13.666823714005087,0.09834597378076992,13.868559496657845,0.0,1.0796959233259493,-10.0,4,True
a1,-10.0,200,R,1,0.5,0.5000008862586589,0.059434,69.22284959491931,18.111212981374635,20.761152986308858,0.02829442920068459,21.09810819831874,0.0,1.0808587170192034,-10.0,4,True
a1,-10.0,200,G1,1,0.5,0.5000008862586589,0.059434,69.21829263787521,19.465234354922643,22.397308669679973,0.01722719278776097,22.792749652312555,0.0,1.08311373689622,-10.0,4,True
a1,-10.0,200,G2,1,0.5,0.5000008862586589,0.059434,69.19800407008121,19.445939716539883,22.375924693622842,0.15611951503952426,22.717993901304627,0.0,1.0787826382952181,-10.0,4,True
a1,-10.0,200,B,1,0.5,0.5000008862586589,0.059434,69.20189044350072,19.401750112834733,22.257067360004527,0.07545117366785803,22.585045425896507,0.0,1.0796959233259493,-10.0,4,True
a1,-10.0,200,R,2,0.85,0.8500031891813166,0.101038,69.22284959491931,31.089972746999635,34.64460111989052,0.09733178703673673,35.250862458947644,0.0,1.0808587170192034,-10.0,4,True
a1,-10.0,200,G1,2,0.85,0.8500031891813166,0.101038,69.21829263787521,33.44132573981034,37.61001016948293,0.1847563233570213,38.20270127276195,0.0,1.08311373689622,-10.0,4,True
a1,-10.0,200,G2,2,0.85,0.8500031891813166,0.101038,69.19800407008121,33.42071979924252,37.66281676630298,0.0018361057565812189,38.19064945354127,0.0,1.0787826382952181,-10.0,4,True
a1,-10.0,200,B,2,0.85,0.8500031891813166,0.101038,69.20189044350072,33.31488278037624,37.202081629460544,0.0486801525288314,37.79777501460825,0.0,1.0796959233259493,-10.0,4,True
a1,-10.0,200,R,3,1.4,1.4000007989826482,0.166415,69.22284959491931,51.301127684743776,56.63918956018763,0.2604922887183818,57.66190013483937,0.0,1.0808587170192034,-10.0,4,True
a1,-10.0,200,G1,3,1.4,1.4000007989826482,0.166415,69.21829263787521,55.15526159186112,61.19843799589333,0.04915322274933942,62.26265904074523,0.0,1.08311373689622,-10.0,4,True
a1,-10.0,200,G2,3,1.4,1.4000007989826482,0.166415,69.19800407008121,55.12446754857113,61.4210414186161,0.09847328844162462,62.41644164910656,0.0,1.0787826382952181,-10.0,4,True
a1,-10.0,200,B,3,1.4,1.4000007989826482,0.166415,69.20189044350072,54.93952992087917,60.66342376631742,0.2505261514441699,61.77000764439994,0.0,1.0796959233259493,-10.0,4,True
a1,-10.0,200,R,4,2.4,2.400002571499966,0.285283,69.22284959491931,88.45380712810315,97.30019290509182,0.0745294944129995,98.85895993049331,0.0,1.0808587170192034,-10.0,4,True
a1,-10.0,200,G1,4,2.4,2.400002571499966,0.285283,69.21829263787521,95.0731302060579,104.74077243380887,0.21806428538903333,106.7402347685908,0.0,1.08311373689622,-10.0,4,True
a1,-10.0,200,G2,4,2.4,2.400002571499966,0.285283,69.19800407008121,95.0140091745477,104.82198783809406,0.10427559037955803,106.65186794156426,0.0,1.0787826382952181,-10.0,4,True
a1,-10.0,200,B,4,2.4,2.400002571499966,0.285283,69.20189044350072,94.68878319388942,103.53074996565802,0.26934352251248583,105.20990697777023,0.0,1.0796959233259493,-10.0,4,True
a1,-10.0,200,R,5,4.0,3.999998677361288,0.475471,69.22284959491931,148.08204294505873,161.31168195268117,0.9578415330457517,164.60451246352844,0.0,1.0808587170192034,-10.25,4,True
