gain,offset,pedestal,n_pairs,R_sd,R_mad,R_err,plane_spread,R_at_offset,spatial_sd,fpn_ratio,sigmas_above_zero,zero_frac,zero_frac_gaussian
270,15,81.13508520126342,10.0,2.1345773987363925,2.096712990350254,0.0011955840688164538,0.019442071478245282,2.1345773987363925,2.1617238223552704,1.0127174698068797,38.00990549665382,0.0,1.42580071921e-312
280,15,83.46184720993041,10.0,2.335467174291191,2.096712990350254,0.001515024772948534,0.015245661500669527,2.335467174291191,2.365804669260979,1.0129899042485986,35.73668177770937,0.0,1.1011129932941725e-276
290,15,86.03252725601196,10.0,2.562772706313805,2.096712990350254,0.0009893998938696527,0.01599366690930193,2.562772706313805,2.5964899569749833,1.0131565513313414,33.5700965770616,0.0,1.5808502353575483e-244
300,0,30.309259033203126,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.8859737573533883,2.9265755176544186,1.014068651940295,10.50226425516722,0.00012979507446289062,2.6047050768303377e-25
300,5,50.67866401672363,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.894701391873109,2.9357753098011017,1.0141893454168738,17.50738924539998,6.103515625e-06,1.2879320953376315e-67
300,10,70.30579776763916,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.901122666548617,2.940867429971695,1.013699787286265,24.233996920674837,4.76837158203125e-07,3.152253402623059e-128
300,15,90.87798643112183,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.8978793148270485,2.938658878207207,1.0140722090017722,31.360169475016807,0.0,7.838967988950317e-214
300,20,110.6766912460327,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.9009391591702003,2.940756368637085,1.0137256272131794,38.1520208364836,0.0,6.25144374e-316
300,25,130.30200042724607,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.8955098358625055,2.93610662817955,1.0140206024563378,45.001401415869175,0.0,0.0
300,30,150.12517776489256,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.9012718832510846,2.938895416259766,1.0129679445852284,51.744608504828044,0.0,0.0
300,35,169.93583488464355,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.8978235629758387,2.942310708761215,1.0153519166431553,58.64257474327827,0.0,0.0
