cell,gain,exptime,plane,arm,n,sigma_1,eta_comb_1,eta_vs_raw_1,sigma_4,eta_comb_4,eta_vs_raw_4
D,200,120.0,G1,none,8,5.792036,1.059139,1.175765,1.745852,1.045994,1.115406
D,200,120.0,G1,none,16,4.241097,1.022801,1.135426,1.261037,1.023986,1.091937
D,200,120.0,G1,none,18,4.165091,0.981903,1.090024,1.262272,0.964479,1.028481
D,200,120.0,G1,winsorized,3,10.153423,0.986634,1.095277,2.971668,1.003508,1.0701
D,200,120.0,G1,winsorized,4,8.590518,1.009903,1.121108,2.541872,1.01601,1.083432
D,200,120.0,G1,winsorized,8,5.976674,1.026419,1.139442,1.81309,1.007204,1.074042
D,200,120.0,G1,winsorized,16,4.341095,0.99924,1.109271,1.323871,0.975385,1.040112
D,200,120.0,G1,winsorized,18,4.247663,0.962815,1.068835,1.307628,0.931025,0.992808
D,200,120.0,G2,none,3,9.346853,1.069587,1.187954,2.694209,1.11001,1.179654
D,200,120.0,G2,none,4,8.310788,1.041765,1.157053,2.451201,1.056598,1.122891
D,200,120.0,G2,none,8,5.776468,1.059826,1.177113,1.750221,1.04636,1.112009
D,200,120.0,G2,none,16,4.234235,1.022368,1.135509,1.273177,1.017115,1.08093
D,200,120.0,G2,none,18,4.140047,0.985826,1.094924,1.277329,0.955828,1.015798
D,200,120.0,G2,winsorized,3,10.107498,0.989094,1.098554,2.951916,1.013104,1.076668
D,200,120.0,G2,winsorized,4,8.559831,1.011456,1.123389,2.514035,1.030191,1.094826
D,200,120.0,G2,winsorized,8,5.963682,1.026556,1.140161,1.805526,1.014309,1.077947
D,200,120.0,G2,winsorized,16,4.336207,0.998325,1.108806,1.323193,0.978669,1.040071
D,200,120.0,G2,winsorized,18,4.223786,0.966282,1.073216,1.308483,0.93307,0.991612
D,200,120.0,B,none,3,6.999908,1.029079,1.168251,1.989189,1.052327,1.129785
D,200,120.0,B,none,4,6.105373,1.021785,1.15997,1.72556,1.050576,1.127905
D,200,120.0,B,none,8,4.188493,1.053171,1.195601,1.209279,1.060024,1.138049
D,200,120.0,B,none,16,3.071264,1.015605,1.152954,0.892205,1.015928,1.090707
D,200,120.0,B,none,18,2.978171,0.987452,1.120993,0.86443,0.988602,1.06137
D,200,120.0,B,winsorized,3,7.525961,0.957148,1.086592,2.137138,0.979477,1.051573
D,200,120.0,B,winsorized,4,6.285823,0.992452,1.12667,1.785105,1.015532,1.090282
D,200,120.0,B,winsorized,8,4.341708,1.016006,1.153409,1.256199,1.020432,1.095543
D,200,120.0,B,winsorized,16,3.153382,0.989157,1.122929,0.912859,0.992942,1.066029
D,200,120.0,B,winsorized,18,3.050592,0.96401,1.094381,0.88988,0.960328,1.031015
