elapsed_s,date_obs,pedestal,ccd_temp
524.0,2026-08-28T20:50:44.687,68.77684593200684,-10.0
526.001,2026-08-28T20:50:46.688,68.2641716003418,-10.0
528.0,2026-08-28T20:50:48.687,68.26167678833008,-10.0
530.0,2026-08-28T20:50:50.687,68.77395057678223,-10.0
532.001,2026-08-28T20:50:52.688,68.26733779907227,-10.0
534.0,2026-08-28T20:50:54.687,68.77663612365723,-10.0
536.0,2026-08-28T20:50:56.687,68.26018142700195,-10.0
538.0,2026-08-28T20:50:58.687,68.7720947265625,-10.0
540.0,2026-08-28T20:51:00.687,68.77651786804199,-10.0
542.0,2026-08-28T20:51:02.687,68.7823371887207,-10.0
544.0,2026-08-28T20:51:04.687,68.2660903930664,-10.0
546.0,2026-08-28T20:51:06.687,68.77535057067871,-10.0
548.0,2026-08-28T20:51:08.687,68.77639770507812,-10.0
550.0,2026-08-28T20:51:10.687,68.25796890258789,-10.0
552.0,2026-08-28T20:51:12.687,68.26295280456543,-10.0
554.001,2026-08-28T20:51:14.688,68.7733268737793,-10.0
556.0,2026-08-28T20:51:16.687,68.77390670776367,-10.0
558.001,2026-08-28T20:51:18.688,68.77205848693848,-10.0
560.0,2026-08-28T20:51:20.687,68.77617073059082,-10.0
562.0,2026-08-28T20:51:22.687,68.26785278320312,-10.0
564.0,2026-08-28T20:51:24.687,68.25739097595215,-10.0
566.0,2026-08-28T20:51:26.687,68.77642440795898,-10.0
568.0,2026-08-28T20:51:28.687,68.26715469360352,-10.0
570.0,2026-08-28T20:51:30.687,68.25962448120117,-10.0
572.0,2026-08-28T20:51:32.687,68.26496124267578,-10.0
574.0,2026-08-28T20:51:34.687,68.77717781066895,-10.0
576.0,2026-08-28T20:51:36.687,68.7741584777832,-10.0
578.0,2026-08-28T20:51:38.687,68.26934623718262,-10.0
580.0,2026-08-28T20:51:40.687,68.25811386108398,-10.0
582.0,2026-08-28T20:51:42.687,68.77190589904785,-10.0
584.0,2026-08-28T20:51:44.687,68.77093696594238,-10.0
586.0,2026-08-28T20:51:46.687,68.26601028442383,-10.0
588.001,2026-08-28T20:51:48.688,68.77128410339355,-10.0
590.0,2026-08-28T20:51:50.687,68.25683212280273,-10.0
592.001,2026-08-28T20:51:52.688,68.26373291015625,-10.0
594.0,2026-08-28T20:51:54.687,68.78076362609863,-10.0
596.0,2026-08-28T20:51:56.687,68.7650032043457,-10.0
598.0,2026-08-28T20:51:58.687,68.26436233520508,-10.0
